trace,freq,label,lof_scores,lof_pred,kmeans_pred,spectral_pred
Assign_seriousness Take_in_charge_ticket Wait Require_upgrade Resolve_ticket Resolve_ticket Closed,1,0.0,1.086532806576339,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Create_SW_anomaly Create_SW_anomaly Resolve_ticket Closed,1,0.0,1.9329119892741027,1,1.0,0.0
Assign_seriousness Wait Assign_seriousness Take_in_charge_ticket Wait Wait Take_in_charge_ticket Resolve_ticket Closed,1,0.0,3.262652251791509,0,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Require_upgrade Require_upgrade Resolve_ticket Closed,1,0.0,1.3724338140775352,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Take_in_charge_ticket Require_upgrade Resolve_ticket Closed,1,0.0,2.2812249355275176,0,1.0,0.0
Take_in_charge_ticket Wait Wait Resolve_ticket Closed,1,0.0,2.730093491155156,0,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Create_SW_anomaly Resolve_SW_anomaly Resolve_ticket Closed,1,0.0,2.1698294948722547,0,1.0,0.0
Insert_ticket Assign_seriousness Assign_seriousness Assign_seriousness Assign_seriousness Take_in_charge_ticket Resolve_ticket Closed,1,0.0,2.508655034742456,0,1.0,0.0
Resolve_ticket Take_in_charge_ticket Resolve_ticket Closed,1,0.0,2.0090125751758254,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Wait Take_in_charge_ticket Wait Resolve_ticket Closed,1,0.0,2.848350246494394,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Wait Create_SW_anomaly Resolve_ticket Closed,1,0.0,3.4885491888311546,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Resolve_ticket Assign_seriousness Take_in_charge_ticket Resolve_ticket Closed,1,0.0,5.576013243800758,0,1.0,0.0
Take_in_charge_ticket Take_in_charge_ticket Take_in_charge_ticket Resolve_ticket Closed,1,0.0,2.0090125751758254,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket,1,0.0,9.118610518175702,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Require_upgrade Require_upgrade Take_in_charge_ticket Resolve_ticket Resolve_ticket Closed,1,0.0,2.09038942219038,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait,1,0.0,1.0610640188885943,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Resolve_SW_anomaly Resolve_ticket Closed,1,0.0,12.911058446264082,0,1.0,0.0
Assign_seriousness Resolve_ticket Resolve_ticket Take_in_charge_ticket Resolve_ticket Resolve_ticket Closed,1,0.0,1.496124821442536,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Create_SW_anomaly Resolve_SW_anomaly Resolve_SW_anomaly Require_upgrade,1,0.0,1.4557173720048777,1,0.0,0.0
Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Wait Take_in_charge_ticket Wait Resolve_ticket Closed,1,0.0,1.5732631386278186,1,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Schedule_intervention Resolve_ticket Closed,1,0.0,12.608478659992112,0,1.0,0.0
Assign_seriousness Assign_seriousness Assign_seriousness Assign_seriousness Resolve_ticket Take_in_charge_ticket Resolve_ticket Closed,1,0.0,1.4753729452234554,1,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Require_upgrade Require_upgrade Resolve_ticket Closed,1,0.0,1.7450429609268219,1,1.0,0.0
Assign_seriousness Wait Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Closed,1,0.0,2444445.80905357,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Require_upgrade Require_upgrade Require_upgrade Resolve_ticket Closed,1,0.0,1.9723948737013222,1,0.0,0.0
Insert_ticket Assign_seriousness Resolve_ticket Closed,1,0.0,5.243168593422638,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Wait Resolve_ticket Take_in_charge_ticket Resolve_ticket Closed,1,0.0,1.1189589716366828,1,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Closed,1,0.0,1.0857142717244923,1,1.0,0.0
Create_SW_anomaly Resolve_SW_anomaly Resolve_ticket Closed,1,0.0,1.3166079893322054,1,0.0,0.0
Assign_seriousness Take_in_charge_ticket Require_upgrade Create_SW_anomaly Resolve_ticket RESOLVED INVALID VERIFIED Closed,1,0.0,10.32881396622543,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Require_upgrade Require_upgrade Resolve_ticket Resolve_ticket Closed,1,0.0,1.669867633138604,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Create_SW_anomaly Resolve_ticket Closed,1,0.0,1.1974448538043099,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Wait Take_in_charge_ticket Wait Wait Take_in_charge_ticket Take_in_charge_ticket Take_in_charge_ticket Resolve_ticket Closed,1,0.0,1.2339850002884625,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Create_SW_anomaly Require_upgrade Resolve_ticket Closed,1,0.0,1.494073317708116,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Take_in_charge_ticket Schedule_intervention Resolve_ticket Closed,1,0.0,8.703116934718862,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Wait,1,0.0,1.1410625832638939,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Resolve_ticket Resolve_ticket Resolve_ticket Take_in_charge_ticket Resolve_ticket Closed,1,0.0,3.1962064116722044,0,1.0,0.0
Wait Resolve_ticket Closed,1,0.0,3.4720341887643595,0,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Resolve_ticket Closed Closed,1,0.0,2.6527476567653836,0,1.0,0.0
Assign_seriousness Assign_seriousness Take_in_charge_ticket Resolve_ticket Resolve_ticket Resolve_ticket Closed,1,0.0,3.551044101722263,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Take_in_charge_ticket Wait Wait Resolve_ticket Closed,1,0.0,2.768896786009238,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Take_in_charge_ticket Wait Take_in_charge_ticket Resolve_ticket Closed,1,0.0,1.1169925001442311,1,1.0,0.0
Assign_seriousness Take_in_charge_ticket Create_SW_anomaly Create_SW_anomaly Resolve_SW_anomaly Resolve_SW_anomaly Require_upgrade Create_SW_anomaly Resolve_ticket,1,0.0,1.7619448070467802,1,0.0,0.0
Assign_seriousness Take_in_charge_ticket Wait Wait Take_in_charge_ticket Wait Take_in_charge_ticket Create_SW_anomaly Resolve_ticket Closed,1,0.0,1.000276845349538,1,1.0,0.0
Assign_seriousness Resolve_ticket Wait Wait Resolve_ticket Closed,1,0.0,2.045902974000745,0,1.0,0.0
Assign_seriousness Take_in_charge_ticket Resolve_ticket Resolve_ticket Closed Closed,1,0.0,3.144454992902786,0,1.0,0.0
